date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:56:53	14187/14187	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Jan%202019%2022:56:46%20GMT	https://my.navyfederal.org/NFOAA_Auth/login.jsp	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/login.html	(from )
17:56:57	284/284	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Fri,%2011%20Jan%202019%2022:56:50%20GMT	https://my.navyfederal.org/robots.txt		(from )
17:56:57	1150/1150	---M-Z	200	added ('OK')	image/x-icon	date:Tue,%2009%20Oct%202018%2018:10:32%20GMT	https://my.navyfederal.org/NFOAA_Auth/favicon.ico	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/favicon.ico	(from https://my.navyfederal.org/NFOAA_Auth/login.jsp)
17:56:57	16282/16282	---M--	200	added ('OK')	image/png	date:Tue,%2009%20Oct%202018%2018:10:32%20GMT	https://my.navyfederal.org/NFOAA_Auth/resources/images/apple-touch-icon-72x72-precomposed-14091710c18c4576bb05b77eae62912e.png	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/resources/images/apple-touch-icon-72x72-precomposed-14091710c18c4576bb05b77eae62912e.png	(from https://my.navyfederal.org/NFOAA_Auth/login.jsp)
17:56:58	82192/82192	---M-Z	200	added ('OK')	text/css	date:Thu,%2020%20Sep%202018%2014:30:34%20GMT	https://my.navyfederal.org/NFOAA_Auth/resources/css/main-81c4011762afac3569f942d4fb8bf43f.css	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/resources/css/main-81c4011762afac3569f942d4fb8bf43f.css	(from https://my.navyfederal.org/NFOAA_Auth/login.jsp)
17:56:59	4229/4229	---M-Z	200	added ('OK')	text/css	date:Thu,%2020%20Sep%202018%2014:30:34%20GMT	https://my.navyfederal.org/NFOAA_Auth/resources/css/nauth-81c4011762afac3569f942d4fb8bf43f.css	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/resources/css/nauth-81c4011762afac3569f942d4fb8bf43f.css	(from https://my.navyfederal.org/NFOAA_Auth/login.jsp)
17:57:00	47691/47691	---M-Z	200	added ('OK')	text/javascript	etag:%22ba4b-55aaa9d53ac80-gzip%22	https://www.navyfederal.org/js/s_code.js	C:/My%20Web%20Sites/Navy%20Union/www.navyfederal.org/js/s_code.js	(from https://my.navyfederal.org/NFOAA_Auth/login.jsp)
17:57:01	142111/142111	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2020%20Sep%202018%2014:30:34%20GMT	https://my.navyfederal.org/NFOAA_Auth/resources/js/dist/main.min.js	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/resources/js/dist/main.min.js	(from https://my.navyfederal.org/NFOAA_Auth/login.jsp)
17:57:01	2394/2394	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2020%20Sep%202018%2014:30:34%20GMT	https://my.navyfederal.org/NFOAA_Auth/resources/js/dev/cookieGenerator-f3c7ff68bced30b6bd7a7a5b62aa7ff4.js	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/resources/js/dev/cookieGenerator-f3c7ff68bced30b6bd7a7a5b62aa7ff4.js	(from https://my.navyfederal.org/NFOAA_Auth/login.jsp)
17:57:02	2625/2625	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2020%20Sep%202018%2014:30:34%20GMT	https://my.navyfederal.org/NFOAA_Auth/resources/js/dev/login-f3c7ff68bced30b6bd7a7a5b62aa7ff4.js	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/resources/js/dev/login-f3c7ff68bced30b6bd7a7a5b62aa7ff4.js	(from https://my.navyfederal.org/NFOAA_Auth/login.jsp)
